code,term
111438007,Hypertension secondary to renal disease in obstetric context
111452009,Postpartum afibrinogenemia with hemorrhage
111453004,"Retained placenta, without hemorrhage"
111458008,Venous thrombosis in puerperium
111459000,"Infection of nipple, associated with childbirth"
112070001,Onset of labor induced
112075006,Premature birth of newborn sextuplets
1124005,"Postpartum period, 6 days"
1125006,Sepsis during labor
1128891000000103,Antenatal screening blood test for complete trisomy 18 and complete trisomy 13 syndromes
112925006,Repair of obstetric laceration of vulva
112926007,Suture of obstetric laceration of vagina
112927003,Manual rotation of fetal head
1141750000,Physiological delivery of placenta
1142048002,Persistent gestational proteinuria
1142097006,Intermittent gestational proteinuria
1144435009,Varicose veins of perineum in pregnancy
1144765000,Varicose veins of vulva in puerperium
1144766004,Varicose veins of perineum in puerperium
1144797000,Varicose veins of bilateral lower limbs in puerperium
1144807000,Varicose veins of bilateral lower limbs in pregnancy
11454006,Failed attempted abortion with amniotic fluid embolism
11466000,Cesarean section
1147951000000100,Delivery following termination of pregnancy
1147961000000102,Breech delivery following termination of pregnancy
1147971000000109,Cephalic delivery following termination of pregnancy
1148484005,Retained uterine membrane
1148583001,Phlebitis in pregnancy
1148584007,Venous thrombosis in pregnancy
1148587000,Phlegmasia alba dolens in pregnancy
1148619000,Retained uterine membrane without hemorrhage
1148755000,Retained products of conception with no hemorrhage
1148756004,Retained products of conception with no hemorrhage with postnatal problem
1148794004,Postpartum hemorrhage with retained placenta
1148801000000108,Monochorionic monoamniotic triplet pregnancy
1148811000000105,Trichorionic triamniotic triplet pregnancy
1148821000000104,Dichorionic triamniotic triplet pregnancy
1148841000000106,Dichorionic diamniotic triplet pregnancy
1148848009,Multiple pregnancy following assisted fertilization
1148941002,Retention of part of placenta and uterine membrane without hemorrhage
1148942009,Retention of part of placenta without hemorrhage
1148943004,Retention of placenta and uterine membrane
1148970006,Higher order multiple pregnancy due to and following medically assisted reproduction
1149255009,Postnatal care from consultant
1149256005,Postnatal shared care
1149345007,Excessive weight gain measured during pregnancy
1149411000000103,Monochorionic diamniotic triplet pregnancy
1149421000000109,Monochorionic triamniotic triplet pregnancy
1149472000,Thrombophlebitis of bilateral lower limbs in pregnancy
1149473005,Thrombophlebitis of bilateral lower limbs in puerperium
1156027008,Thrombus of dural sinus in pregnancy
1156029006,Thrombus of dural sinus in puerperium
1156031002,Venous varices in pregnancy
1156032009,Venous varices in puerperium
1156100006,Pregnancy with normal glucose tolerance test
1157306001,Embryo present in utero
11669000,Postoperative shock following molar AND/OR ectopic pregnancy
1167981000000101,Ultrasound scan for chorionicity
11687002,Gestational diabetes mellitus
11718971000119100,Diarrhea in pregnancy
1173981003,Compression suture of uterus for postpartum hemorrhage
1177197005,Antepartum hemorrhage with disseminated intravascular coagulation
1179010002,Balloon tamponade of uterus for postpartum hemorrhage
1179359005,Maternal epilepsy due to perinatal stroke
1179361001,Maternal perinatal sensorineural hearing loss
1179363003,Maternal perinatal purpura
1179366006,Maternal perinatal epistaxis
1179398000,Maternal perinatal infection
118185001,Finding related to pregnancy
118189007,Prenatal finding
118213005,Postpartum finding
118215003,Delivery finding
118216002,Labor finding
118781000119108,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy
1187861000000101,Selective destruction of fetus by percutaneous intrafetal laser ablation of umbilical cord
11914001,Transverse OR oblique presentation of fetus
1196980000,Injury of placenta due to cesarean section
1197158009,Placental separation
1197159001,Placental separation with bleeding
1197219005,Elective lower segment cesarean section through inverted T shaped incision of uterus
119891000119105,Postpartum hemorrhage due to total placenta previa
12062007,Puerperal pelvic cellulitis
1219001000000101,Selective destruction of fetus by percutaneous intrafetal radiofrequency ablation of umbilical cord
1219011000000104,Selective destruction of fetus by percutaneous intrafetal bipolar coagulation of umbilical cord
1220560005,Self-induced termination of pregnancy
1220564001,Incomplete induced termination of pregnancy complicated by shock
1220586000,Incomplete induced termination of pregnancy complicated by renal failure
1220625008,Incomplete induced termination of pregnancy complicated by metabolic disorder
1220626009,Incomplete induced termination of pregnancy complicated by genital-pelvic infection
1220630007,Incomplete induced termination of pregnancy complicated by embolism
1220631006,Incomplete induced termination of pregnancy complicated by delayed or excessive hemorrhage
1220632004,Incomplete induced termination of pregnancy complicated by damage to pelvic organs or tissues
1220641009,Complete induced termination of pregnancy with complication
1220645000,Complete induced termination of pregnancy complicated by shock
1220648003,Complete induced termination of pregnancy complicated by renal failure
1220651005,Complete induced termination of pregnancy complicated by metabolic disease
1220652003,Complete induced termination of pregnancy complicated by embolism
1220653008,Complete induced termination of pregnancy complicated by excessive hemorrhage
1220654002,Complete induced termination of pregnancy complicated by delayed or excessive hemorrhage
1220656000,Complete induced termination of pregnancy complicated by genital-pelvic infection
1220657009,Complete induced termination of pregnancy complicated by damage to pelvic organs and/or tissues
12271000132101,Maternal infection caused by Streptococcus agalactiae
12275071000119109,Conjoined twin pregnancy
1230103006,Support during first stage of labor
1236949008,Finding of placental volume
1236950008,Placental volume within reference range
1236951007,Placental volume above reference range
1236952000,Placental volume below reference range
1236976008,Postpartum inversion of uterus
1237349008,"Hydrops, lactic acidosis, sideroblastic anemia, multisystemic failure syndrome"
1237361000,Pressure collapse of lung due to anesthesia during pregnancy
1237362007,Pressure collapse of lung due to anesthesia in puerperium
1237363002,Pressure collapse of lung due to anesthesia during labor and delivery
12394009,Miscarriage with cerebral anoxia
124735008,Late onset of labor
1251634006,Excessive retraction of upper uterine segment
1252649001,Normal retraction of upper uterine segment
1255625008,Childbirth within last 4 weeks
1258867002,Postpartum abscess of breast
1258896001,Amniotic fluid pulmonary embolism
1258897005,Fetal disproportion due to large fetus
1258898000,Mental disorder during puerperium
1258917005,Fissure of nipple in puerperium
1258923000,Infection caused by Neisseria gonorrhoeae during puerperium
1258998001,Partial maternal breastfeeding
1258999009,Maternal exclusive breastfeeding
1259016008,Rupture of uterus following obstructed labor
1259017004,Substance dependence during puerperium
1260078007,Maternal breastfeeding
127009,Miscarriage with laceration of cervix
127364007,Primigravida
127365008,Gravida 2
127366009,Gravida 3
127367000,Gravida 4
127368005,Gravida 5
127369002,Gravida 6
127370001,Gravida 7
127371002,Gravida 8
127372009,Gravida 9
127373004,Gravida 10
127374005,Gravida more than 10
128077009,Trauma to vagina during delivery
12867002,Fetal distress affecting management of mother
129597002,Moderate hyperemesis gravidarum
129598007,Severe hyperemesis gravidarum
12983003,Failed attempted abortion with septic shock
1323351000000104,First trimester bleeding
13273002,"Postpartum period, 4 days"
13384007,Miscarriage complicated by metabolic disorder
133905007,Delivery room care
133906008,Postpartum care
133907004,Episiotomy care
1343000,Deep transverse arrest
134435003,Routine antenatal care
134781000119106,High risk pregnancy due to recurrent miscarriage
135881001,Pregnancy review
13763000,"Gestation period, 34 weeks"
13798002,"Gestation period, 38 weeks"
13842006,Subinvolution of uterus in puerperium
13859001,Premature birth of newborn twins
13866000,Fetal acidemia affecting management of mother
13943000,Failed attempted abortion complicated by embolism
14022007,"Fetal death, affecting management of mother"
14094001,Excessive vomiting in pregnancy
14119008,Braxton Hicks obstetrical version with extraction
14136000,Miscarriage with perforation of broad ligament
14418008,Precocious pregnancy
1469007,Miscarriage with urinary tract infection
15100005,"Postpartum state, 2 weeks"
151441000119105,Twin live born in hospital by vaginal delivery
15230009,Liver disorder in pregnancy
1538006,Central nervous system malformation in fetus affecting obstetrical care
15406009,Retromammary abscess associated with childbirth
15413009,High forceps delivery with episiotomy
15467003,"Term birth of identical twins, both living"
15504009,Rupture of gravid uterus
15539009,Hydrops fetalis due to isoimmunization
156072005,Incomplete miscarriage
156073000,Complete miscarriage
156222001,Short umbilical cord
15633004,"Gestation period, 16 weeks"
15643101000119103,Gastroesophageal reflux disease in pregnancy
15809008,Miscarriage with perforation of uterus
15898009,Third stage of labor
1592005,Failed attempted abortion with uremia
15928461000119104,Infection of left nipple during lactation
15928501000119104,Infection of right nipple during lactation
15953341000119100,Fissure of right nipple during lactation
15953381000119105,Fissure of left nipple during lactation
16038004,Abortion due to Leptospira
16083003,Damage to pelvic organs AND/OR tissues following molar AND/OR ectopic pregnancy
16101000119107,Incomplete induced termination of pregnancy with complication
16111000119105,Incomplete spontaneous abortion due to hemorrhage
16253001,Dilated peripartum cardiomyopathy
16271000119108,Pyelonephritis in pregnancy
16320551000119109,Bleeding from female genital tract co-occurrent with pregnancy
16356006,Multiple pregnancy
1639007,Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy
16437531000119105,Ultrasonography for qualitative deepest pocket amniotic fluid volume
16538005,Early postpartum state
16574001,Cardiac arrest after obstetrical surgery AND/OR other procedure including delivery
16607004,Missed abortion
16714009,Miscarriage with laceration of bowel
16819009,Delivery of face presentation
16836261000119107,Ectopic pregnancy of left ovary
16836351000119100,Ectopic pregnancy of right ovary
16836391000119105,Pregnancy of left fallopian tube
16836431000119100,Ruptured tubal pregnancy of right fallopian tube
16836571000119103,Ruptured tubal pregnancy of left fallopian tube
16836811000119108,Miscarriage of left tubal ectopic pregnancy
16836851000119109,Miscarriage of right tubal ectopic pregnancy
16836891000119104,Pregnancy of right fallopian tube
169224002,Ultrasound scan for fetal cephalometry
169225001,Ultrasound scan for fetal maturity
169228004,Ultrasound scan for fetal presentation
169229007,Dating/booking ultrasound scan
169230002,Ultrasound scan for fetal viability
169470007,Combined oral contraceptive pill failure
169471006,Progestogen-only pill failure
169488004,Contraceptive intrauterine device failure - pregnant
16950007,Fourth degree perineal laceration involving anal mucosa
169501005,"Pregnant, diaphragm failure"
169508004,"Pregnant, sheath failure"
169524003,Depot contraceptive failure
169533001,Contraceptive sponge failure
169539002,Symptothermal contraception failure
169544009,Postcoital oral contraceptive pill failure
169545005,Postcoital intrauterine contraceptive device failure
169548007,Vasectomy failure
169550004,Female sterilization failure
169560008,Pregnant - urine test confirms
169561007,Pregnant - blood test confirms
169562000,Pregnant - vaginal examination confirms
169563005,Pregnant - on history
169564004,Pregnant - on abdominal palpation
169565003,Pregnant - planned
169566002,Pregnancy unplanned but wanted
169567006,Pregnancy unplanned and unwanted
169568001,Unplanned pregnancy unknown if child is wanted
169569009,Questionable if pregnancy was planned
169572002,Antenatal care categorized by gravida number
169573007,Antenatal care of primigravida
169574001,Antenatal care of second pregnancy
169575000,Antenatal care of third pregnancy
169576004,Antenatal care of multipara
169578003,Antenatal care: obstetric risk
169579006,Antenatal care: uncertain dates
169582001,Antenatal care: history of stillbirth
169583006,Antenatal care: history of perinatal death
169584000,Antenatal care: poor obstetric history
169585004,Antenatal care: history of trophoblastic disease
169587007,Antenatal care: precious pregnancy
169588002,Antenatal care: elderly primiparous
169589005,Antenatal care: history of infertility
169591002,Antenatal care: social risk
169595006,Antenatal care: history of child abuse
169597003,Antenatal care: medical risk
169598008,Antenatal care: gynecological risk
169600002,Antenatal care: under 5ft tall
169602005,Antenatal care: 10 years plus since last pregnancy
169603000,"Antenatal care: primiparous, under 17 years"
169604006,"Antenatal care: primiparous, older than 30 years"
169605007,"Antenatal care: multiparous, older than 35 years"
169613008,Antenatal care provider
169614002,Antenatal care from general practitioner
169615001,Antenatal care from consultant
169616000,Antenatal - shared care
169620001,Delivery: no place booked
169628008,Delivery booking - length of stay
169646002,Antenatal amniocentesis
169650009,Antenatal amniocentesis wanted
169651008,Antenatal amniocentesis - awaited
169652001,Antenatal amniocentesis - normal
169653006,Antenatal amniocentesis - abnormal
169657007,Antenatal ultrasound scan status
169661001,Antenatal ultrasound scan wanted
169662008,Antenatal ultrasound scan awaited
169663003,Antenatal ultrasound scan normal and appropriate for dates
169667002,Antenatal ultrasound scan for slow growth
169668007,Antenatal ultrasound scan 4-8 weeks
169669004,Antenatal ultrasound scan at 9-16 weeks
169670003,Antenatal ultrasound scan at 17-22 weeks
169673001,Antenatal RhD antibody screening
169676009,Rhesus screening - 1st pregnancy sample
169677000,Rhesus screening - Second pregnancy sample
169678005,Rhesus screening - third pregnancy sample
169679002,Rhesus screening - cord blood sample
169680004,RhD - 6 months after anti-D sample
169681000,"RhD antibody screening, random non-pregnancy sample"
169698000,Antenatal syphilis screening
169703006,Antenatal blood group screening
169707007,Antenatal sickle cell screening
169711001,Antenatal booking examination
169712008,Antenatal 12 weeks examination
169713003,Antenatal 16 week examination
169714009,Antenatal 20 week examination
169715005,Antenatal 24 week examination
169716006,Antenatal 28 week examination
169717002,Antenatal 30 week examination
169718007,Antenatal 32 week examination
169719004,Antenatal 34 week examination
169720005,Antenatal 35 week examination
169721009,Antenatal 36 week examination
169722002,Antenatal 37 week examination
169723007,Antenatal 38 week examination
169724001,Antenatal 39 week examination
169725000,Antenatal 40 week examination
169726004,Antenatal 41 week examination
169727008,Antenatal 42 week examination
169754006,Postnatal care provider
169756008,Postnatal care from general practitioner
169758009,No postnatal care
169762003,Postnatal visit
169763008,Postnatal - first day visit
169764002,Postnatal - second day visit
169765001,Postnatal - third day visit
169766000,Postnatal - fourth day visit
169767009,Postnatal - fifth day visit
169768004,Postnatal - sixth day visit
169769007,Postnatal - seventh day visit
169770008,Postnatal - eighth day visit
169771007,Postnatal - ninth day visit
169772000,Postnatal - tenth day visit
169773005,P/N care started at birth
169774004,Postnatal care less than 48 hours after birth
169775003,Postnatal care greater than 48 hours after birth
169786001,Postnatal data
169813005,Home birth
169814004,General practice unit birth
169815003,Consultant unit birth
169817006,Ambulance birth
169821004,Duration of first stage of labor
169822006,Duration of second stage of labor
169823001,Duration of third stage of labor
169826009,Single live birth
169827000,Single stillbirth
169828005,Twins - both live born
169829002,Twins - one still and one live born
169830007,Twins - both stillborn
169831006,Triplets - all live born
169832004,Triplets - two live and one stillborn
169833009,Triplets - one live and two stillborn
169834003,Triplets - three stillborn
169836001,Birth of child
169952004,Placental finding
169960003,Labor details
169961004,Normal birth
172001,Endometritis following molar AND/OR ectopic pregnancy
17263003,Amniotic fluid embolism
17285009,Intraperitoneal pregnancy
173300003,Disorder of pregnancy
17333005,Term birth of multiple newborns
17369002,Miscarriage
17380002,Failed attempted abortion with acute renal failure
17382005,Cervical incompetence
17433009,Ruptured ectopic pregnancy
17532001,Breech malpresentation successfully converted to cephalic presentation
17594002,Fetal bradycardia affecting management of mother
1762004,Fetal death from asphyxia AND/OR anoxia during labor
176827002,Dilation of cervix uteri and vacuum aspiration of products of conception from uterus
176833006,Dilation of cervix uteri and curettage of uterus for removal of missed abortion
176849008,Introduction of abortifacient into uterine cavity
176850008,Intra-amniotic prostaglandin instillation
176854004,Insertion of prostaglandin abortifacient suppository
176928008,Excision of ectopic ovarian pregnancy
176929000,Excision of ruptured ectopic tubal pregnancy
177095006,Early selective feticide
177096007,Late selective feticide
177128002,Induction and delivery procedures
177129005,Surgical induction of labor
177135005,Oxytocin induction of labor
177136006,Prostaglandin induction of labor
177141003,Elective cesarean section
177142005,Elective upper segment cesarean section
177143000,Elective lower segment cesarean section
177152009,Breech extraction delivery with version
177157003,Spontaneous breech delivery
177158008,Assisted breech delivery
177161009,Forceps cephalic delivery
177162002,High forceps cephalic delivery with rotation
177164001,Midforceps cephalic delivery with rotation
177167008,Barton forceps cephalic delivery with rotation
177168003,DeLee forceps cephalic delivery with rotation
177170007,Piper forceps delivery
177173009,High vacuum delivery
177174003,Low vacuum delivery
177175002,Vacuum delivery before full dilation of cervix
177176001,Trial of vacuum delivery
177179008,Cephalic vaginal delivery with abnormal presentation of head at delivery without instrument
177180006,Manipulative cephalic vaginal delivery with abnormal presentation of head at delivery without instrument
177181005,Non-manipulative cephalic vaginal delivery with abnormal presentation of head at delivery without instrument
177184002,Normal delivery procedure
177185001,Water birth delivery
177194007,Manual dilatation of cervix
177200004,Instrumental removal of products of conception from delivered uterus
177203002,Manual removal of products of conception from delivered uterus
177204008,Manual removal of placenta from delivered uterus
177208006,Repositioning of inverted uterus
177212000,Normal delivery of placenta
177217006,Immediate repair of obstetric laceration
177218001,Immediate repair of obstetric laceration of uterus or cervix uteri
177219009,Immediate repair of obstetric laceration of perineum and sphincter of anus
177220003,Immediate repair of obstetric laceration of vagina and floor of pelvis
177221004,Immediate repair of minor obstetric laceration
177222006,Repair of episiotomy
177227000,Secondary repair of obstetric laceration
17766007,"Fetal death from asphyxia AND/OR anoxia, not clear if noted before OR after onset of labor"
17787002,Peripheral neuritis in pregnancy
178280004,Postnatal infection
17860005,Low forceps delivery with episiotomy
18114009,Prenatal examination and care of mother
18122002,Normal uterine contraction wave
18237006,Parenchymatous mastitis associated with childbirth
18260003,Postpartum psychosis
18302006,Therapeutic abortion by hysterotomy
18391007,Elective abortion
18416000,Essential hypertension complicating AND/OR reason for care during childbirth
184339009,Miscarriage at 8 to 28 weeks
18491000119109,Psychological disorder during pregnancy
18606002,Dyscoordinate labor
18613002,Miscarriage with septic shock
18625004,Low forceps delivery
190643008,Puerperal osteomalacia
19099008,Failed attempted abortion with laceration of bladder
19169002,Miscarriage in first trimester
19228003,Failed attempted abortion with perforation of bladder
19363005,Failed attempted abortion with blood-clot embolism
19390001,Partial breech delivery with forceps to aftercoming head
19569008,Mild hyperemesis gravidarum
19729005,Prolapse of anterior lip of cervix obstructing labor
19773009,Infection of the breast AND/OR nipple associated with childbirth
198315005,Chronic subinvolution of uterus
198347000,Cicatrix (postpartum) of cervix
198617006,Delivery of viable fetus in abdominal pregnancy
198620003,Ruptured tubal pregnancy
198624007,Membranous pregnancy
198626009,Mesenteric pregnancy
198627000,Angular pregnancy
198644001,Incomplete miscarriage with genital tract or pelvic infection
198645000,Incomplete miscarriage with delayed or excessive hemorrhage
198646004,Incomplete miscarriage with damage to pelvic organs or tissues
198647008,Incomplete miscarriage with renal failure
198648003,Incomplete miscarriage with metabolic disorder
198649006,Incomplete miscarriage with shock
198650006,Incomplete miscarriage with embolism
198655001,Complete miscarriage with genital tract or pelvic infection
198656000,Complete miscarriage with delayed or excessive hemorrhage
198657009,Complete miscarriage with damage to pelvic organs or tissues
198659007,Complete miscarriage with renal failure
198660002,Complete miscarriage with metabolic disorder
19866007,Previous operation to cervix affecting pregnancy
198661003,Complete miscarriage with shock
198663000,Complete miscarriage with embolism
198705001,Incomplete legal abortion with genital tract or pelvic infection
198706000,Incomplete legal abortion with delayed or excessive hemorrhage
198707009,Incomplete legal abortion with damage to pelvic organs or tissues
198708004,Incomplete legal abortion with renal failure
198709007,Incomplete legal abortion with metabolic disorder
198710002,Incomplete legal abortion with shock
198711003,Incomplete legal abortion with embolism
198718009,Complete legal abortion with genital tract or pelvic infection
198719001,Complete legal abortion with delayed or excessive hemorrhage
198720007,Complete legal abortion with damage to pelvic organs or tissues
198721006,Complete legal abortion with renal failure
198722004,Complete legal abortion with metabolic disorder
198723009,Complete legal abortion with shock
198724003,Complete legal abortion with embolism
198743003,Illegal abortion incomplete
198744009,Incomplete illegal abortion with genital tract or pelvic infection
198745005,Incomplete illegal abortion with delayed or excessive hemorrhage
198746006,Incomplete illegal abortion with damage to pelvic organs or tissues
198747002,Incomplete illegal abortion with renal failure
198748007,Incomplete illegal abortion with metabolic disorder
198749004,Incomplete illegal abortion with shock
198750004,Incomplete illegal abortion with embolism
198755009,Illegal abortion complete
198756005,Complete illegal abortion with genital tract or pelvic infection
198757001,Complete illegal abortion with delayed or excessive hemorrhage
198758006,Complete illegal abortion with damage to pelvic organs or tissues
198759003,Complete illegal abortion with renal failure
198760008,Complete illegal abortion with metabolic disorder
198761007,Complete illegal abortion with shock
198762000,Complete illegal abortion with embolism
198806007,Failed attempted abortion with genital tract or pelvic infection
198807003,Failed attempted abortion with delayed or excessive hemorrhage
198808008,Failed attempted abortion with damage to pelvic organs or tissues
198809000,Failed attempted abortion with renal failure
198810005,Failed attempted abortion with metabolic disorder
198811009,Failed attempted abortion with shock
198812002,Failed attempted abortion with embolism
198824009,Salpingo-oophoritis following abortive pregnancy
198830009,Intravascular hemolysis following abortive pregnancy
198832001,Damage to pelvic organs or tissues following abortive pregnancy
198861000,"Readmission for retained products of conception, spontaneous abortion"
198862007,"Readmission for retained products of conception, legal abortion"
198863002,"Readmission for retained products of conception, illegal abortion"
198874006,"Failed medical abortion, complicated by genital tract and pelvic infection"
198875007,"Failed medical abortion, complicated by delayed or excessive hemorrhage"
198876008,"Failed medical abortion, complicated by embolism"
198878009,"Failed medical abortion, without complication"
198911005,Placental abruption - not delivered
198918004,Antepartum hemorrhage with coagulation defect - not delivered
198920001,Antepartum hemorrhage with trauma
198923004,Antepartum hemorrhage with trauma - not delivered
198925006,Antepartum hemorrhage with uterine leiomyoma
198928008,Antepartum hemorrhage with uterine leiomyoma - not delivered
198942000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium"
198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication"
198968007,Transient hypertension of pregnancy with postnatal complication
198986005,Severe pre-eclampsia with postnatal complication
198990007,Eclampsia - delivered
198992004,Eclampsia in pregnancy
198993009,Eclampsia with postnatal complication
198997005,Pre-eclampsia or eclampsia with pre-existing hypertension
199003007,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication
199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"
199023008,Mild hyperemesis-not delivered
